                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86344,                  2.982,                 1.3343,                0.00351,                      1,                0.55969,                0.39468,                 0.7649,                 3.2962,                 1.3308,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                0.70003,                 2.9492,                 1.2651,                0.00347,                      1,                0.74625,                0.53896,                0.48493,                 3.2222,                 1.0735,             0.00011207,             0.00011207,             0.00011207
                      3,                0.88702,                 2.7379,                 1.3193,                0.00329,                      1,                0.66333,                0.58042,                0.38272,                 3.1781,                0.98222,             0.00016885,             0.00016885,             0.00016885
                      4,                0.79707,                 2.2913,                  1.251,                0.00327,                      1,                0.66333,                0.56383,                0.55252,                 3.0451,                 1.0612,             0.00022034,             0.00022034,             0.00022034
                      5,                 0.7379,                 2.0199,                 1.1845,                0.00326,                      1,                0.74625,                0.62187,                 0.5345,                 2.9631,                 1.0513,             0.00026656,             0.00026656,             0.00026656
                      6,                0.76097,                 1.7083,                 1.1857,                0.00324,                      1,                0.74625,                0.59696,                0.62898,                 3.0708,                 1.0848,             0.00030749,             0.00030749,             0.00030749
                      7,                0.85183,                 1.7869,                 1.2496,                0.00333,                      1,                  0.995,                0.39849,                0.74582,                 3.2691,                   1.29,             0.00034315,             0.00034315,             0.00034315
                      8,                0.76253,                 1.8079,                 1.2256,                0.00336,                      1,                  0.995,                 0.5292,                0.87988,                 3.1205,                 1.3826,             0.00037352,             0.00037352,             0.00037352
                      9,                0.80502,                 1.6973,                 1.2786,                0.00345,                      1,                  0.995,                0.69227,                 0.7331,                 2.9211,                 1.2175,             0.00039861,             0.00039861,             0.00039861
                     10,                0.79744,                 1.5519,                 1.1434,                0.00352,                      1,                0.58042,                  0.286,                0.62218,                 2.8648,                 1.1782,             0.00041842,             0.00041842,             0.00041842
                     11,                0.75187,                 1.5554,                 1.2115,                0.15491,                      1,                0.55278,                0.34843,                0.94448,                  2.784,                 1.4271,             0.00043295,             0.00043295,             0.00043295
                     12,                0.75127,                 1.4296,                 1.2216,                0.18156,                    0.5,                0.47635,                0.29197,                 1.0038,                 2.5974,                  1.461,              0.0004422,              0.0004422,              0.0004422
                     13,                0.76135,                 1.5228,                 1.2105,                0.98613,                    0.5,                0.62187,                0.36596,                0.79264,                 2.3242,                 1.2749,             0.00044617,             0.00044617,             0.00044617
                     14,                0.84369,                 1.5264,                  1.259,                0.75355,                      1,                  0.995,                0.77112,                0.80438,                 2.0325,                 1.1968,             0.00044486,             0.00044486,             0.00044486
                     15,                0.72309,                 1.4339,                 1.1756,                0.81956,                0.98059,                  0.995,                 0.9079,                0.69157,                 1.7303,                 1.1068,             0.00043826,             0.00043826,             0.00043826
                     16,                0.59221,                 1.9561,                  1.192,                0.81956,                0.98059,                  0.995,                 0.9079,                0.69157,                 1.7303,                 1.1068,             0.00042639,             0.00042639,             0.00042639
                     17,                0.65179,                 2.0304,                 1.2145,                0.90522,                      1,                  0.995,                0.95765,                0.40153,                 1.7186,                0.99585,             0.00040923,             0.00040923,             0.00040923
                     18,                 0.6059,                 1.9062,                 1.1473,                  0.963,                      1,                  0.995,                0.92028,                0.42022,                 1.5165,                 1.0059,             0.00038679,             0.00038679,             0.00038679
                     19,                0.57495,                 1.7853,                 1.0948,                  0.963,                      1,                  0.995,                0.92028,                0.42022,                 1.5165,                 1.0059,             0.00035907,             0.00035907,             0.00035907
                     20,                0.52678,                 1.7156,                 1.1191,                0.92815,                      1,                  0.995,                0.94506,                0.51132,                 1.5399,                  1.047,             0.00032607,             0.00032607,             0.00032607
                     21,                0.66156,                 1.7427,                 1.2408,                0.95756,                      1,                  0.995,                0.89531,                0.57514,                 1.4833,                 1.0786,             0.00028779,             0.00028779,             0.00028779
                     22,                0.60124,                 1.7211,                 1.1872,                0.95756,                      1,                  0.995,                0.89531,                0.57514,                 1.4833,                 1.0786,             0.00024423,             0.00024423,             0.00024423
                     23,                0.58857,                  1.687,                 1.1397,                0.94289,                      1,                  0.995,                0.89531,                0.56654,                 1.4475,                 1.0607,             0.00019539,             0.00019539,             0.00019539
                     24,                0.55104,                 1.5919,                 1.0977,                0.94289,                      1,                  0.995,                0.89531,                0.56654,                 1.4475,                 1.0607,             0.00014126,             0.00014126,             0.00014126
                     25,                0.58167,                  1.687,                 1.1869,                 0.9426,                      1,                  0.995,                0.89531,                0.55789,                 1.3843,                  1.051,             8.1856e-05,             8.1856e-05,             8.1856e-05
